Horizon,MSE,MAE,sMAPE,Dataset,Model,OriginIndex,OriginTimestamp
7,0.1142214677777777,0.3379666666666666,46.367731143294094,UCI Household,S-Naive,12,2010-07-17 17:00:00
8,0.156025,0.395,62.32249871945016,UCI Household,S-Naive,12,2010-07-17 17:00:00
9,0.3826247211111113,0.6185666666666668,87.16503379249137,UCI Household,S-Naive,12,2010-07-17 17:00:00
10,0.4660792899999998,0.6826999999999999,101.3885787377398,UCI Household,S-Naive,12,2010-07-17 17:00:00
11,0.0765260011111111,0.2766333333333333,60.74290875671097,UCI Household,S-Naive,12,2010-07-17 17:00:00
12,0.0138376011111111,0.1176333333333333,42.6697289885183,UCI Household,S-Naive,12,2010-07-17 17:00:00
13,0.00013924,0.0118,3.8052240598964304,UCI Household,S-Naive,12,2010-07-17 17:00:00
14,0.0006536544444444,0.0255666666666666,8.291443571297046,UCI Household,S-Naive,12,2010-07-17 17:00:00
15,0.7228400400000004,0.8502000000000002,115.38043891671649,UCI Household,S-Naive,12,2010-07-17 17:00:00
16,0.0126637511111111,0.1125333333333333,31.48372612864319,UCI Household,S-Naive,12,2010-07-17 17:00:00
17,1.1489696099999998,1.0719,126.38591314253593,UCI Household,S-Naive,12,2010-07-17 17:00:00
18,1.3299471211111111,1.153233333333333,141.284327873705,UCI Household,S-Naive,12,2010-07-17 17:00:00
19,0.0124471211111111,0.1115666666666666,32.725494509036984,UCI Household,S-Naive,12,2010-07-17 17:00:00
20,1.06711111111113e-05,0.0032666666666666,1.034628361993859,UCI Household,S-Naive,12,2010-07-17 17:00:00
21,0.0002392177777777,0.0154666666666666,5.993283273186178,UCI Household,S-Naive,12,2010-07-17 17:00:00
22,0.0005759999999999,0.0239999999999999,7.632778422037859,UCI Household,S-Naive,12,2010-07-17 17:00:00
23,0.0046194677777777,0.0679666666666666,25.75633122422159,UCI Household,S-Naive,12,2010-07-17 17:00:00
24,0.00066049,0.0257,8.362709338423297,UCI Household,S-Naive,12,2010-07-17 17:00:00
1,0.0003324544444444,0.0182333333333332,4.965730039956452,UCI Household,S-Naive,13,2010-07-24 17:00:00
2,0.1434389377777778,0.3787333333333333,66.60023388100616,UCI Household,S-Naive,13,2010-07-24 17:00:00
3,0.2749953599999998,0.5243999999999999,45.77247579674508,UCI Household,S-Naive,13,2010-07-24 17:00:00
4,0.6466840277777774,0.8041666666666665,73.14041410447143,UCI Household,S-Naive,13,2010-07-24 17:00:00
5,0.0106571211111111,0.1032333333333335,6.062979005502172,UCI Household,S-Naive,13,2010-07-24 17:00:00
6,0.0791672011111111,0.2813666666666666,25.82332684134612,UCI Household,S-Naive,13,2010-07-24 17:00:00
7,0.1105340844444444,0.3324666666666667,34.41802666887387,UCI Household,S-Naive,13,2010-07-24 17:00:00
8,0.100573551111111,0.3171333333333332,33.97493107537622,UCI Household,S-Naive,13,2010-07-24 17:00:00
9,0.0217562499999999,0.1474999999999999,17.822260600787835,UCI Household,S-Naive,13,2010-07-24 17:00:00
10,0.0150225877777777,0.1225666666666667,29.65920512612376,UCI Household,S-Naive,13,2010-07-24 17:00:00
11,0.0007990044444444,0.0282666666666666,8.356326246211179,UCI Household,S-Naive,13,2010-07-24 17:00:00
12,0.0002141344444444,0.0146333333333333,3.8748399681163335,UCI Household,S-Naive,13,2010-07-24 17:00:00
13,0.0001596011111111,0.0126333333333333,3.4897103702908336,UCI Household,S-Naive,13,2010-07-24 17:00:00
14,0.2437067777777778,0.4936666666666667,77.79178423843011,UCI Household,S-Naive,13,2010-07-24 17:00:00
15,0.0119683599999999,0.1093999999999999,12.757521499120408,UCI Household,S-Naive,13,2010-07-24 17:00:00
16,0.0257816544444444,0.1605666666666667,35.13878212271093,UCI Household,S-Naive,13,2010-07-24 17:00:00
17,0.0005168044444444,0.0227333333333332,6.207335857731813,UCI Household,S-Naive,13,2010-07-24 17:00:00
18,1.0846528177777774,1.0414666666666663,119.14731274560128,UCI Household,S-Naive,13,2010-07-24 17:00:00
19,1.640107111111111,1.2806666666666666,127.581854979834,UCI Household,S-Naive,13,2010-07-24 17:00:00
20,0.8537144011111112,0.9239666666666668,82.8285842905593,UCI Household,S-Naive,13,2010-07-24 17:00:00
21,0.0033292899999999,0.0576999999999998,7.0008695051614405,UCI Household,S-Naive,13,2010-07-24 17:00:00
22,0.0005244099999999,0.0228999999999999,6.471059108872139,UCI Household,S-Naive,13,2010-07-24 17:00:00
23,1.4440000000000194e-05,0.0038,1.0470242324528325,UCI Household,S-Naive,13,2010-07-24 17:00:00
24,0.00048841,0.0221,5.900938909248292,UCI Household,S-Naive,13,2010-07-24 17:00:00
1,0.0915264177777778,0.3025333333333334,28.71152433308885,UCI Household,S-Naive,14,2010-07-31 17:00:00
2,0.0006916899999999,0.0262999999999999,8.708128546303259,UCI Household,S-Naive,14,2010-07-31 17:00:00
3,0.0028266944444444,0.0531666666666666,16.813366096873995,UCI Household,S-Naive,14,2010-07-31 17:00:00
4,0.0009100277777777,0.0301666666666666,10.19545974997815,UCI Household,S-Naive,14,2010-07-31 17:00:00
5,0.0003121111111111,0.0176666666666666,6.112328345421604,UCI Household,S-Naive,14,2010-07-31 17:00:00
6,1.361111111110941e-06,0.0011666666666665,0.3452527692440805,UCI Household,S-Naive,14,2010-07-31 17:00:00
7,0.0002464899999999,0.0156999999999999,5.520070222325161,UCI Household,S-Naive,14,2010-07-31 17:00:00
8,1.7777777777778305e-06,0.0013333333333333,0.4214074943941144,UCI Household,S-Naive,14,2010-07-31 17:00:00
9,8.100000000000014e-05,0.009,3.026905778695533,UCI Household,S-Naive,14,2010-07-31 17:00:00
10,0.00069696,0.0264,8.202153973661662,UCI Household,S-Naive,14,2010-07-31 17:00:00
11,0.00059536,0.0244,8.828850401118386,UCI Household,S-Naive,14,2010-07-31 17:00:00
12,0.0070672044444444,0.0840666666666666,13.994783746783328,UCI Household,S-Naive,14,2010-07-31 17:00:00
13,0.004281521111111,0.0654333333333332,6.729631944001609,UCI Household,S-Naive,14,2010-07-31 17:00:00
14,3.3611111111109813e-06,0.0018333333333332,0.5821645845647215,UCI Household,S-Naive,14,2010-07-31 17:00:00
15,0.0043208711111111,0.0657333333333333,22.008928202975543,UCI Household,S-Naive,14,2010-07-31 17:00:00
16,0.0003484444444444,0.0186666666666666,6.349926187494166,UCI Household,S-Naive,14,2010-07-31 17:00:00
17,0.0001629877777777,0.0127666666666666,4.209947718439986,UCI Household,S-Naive,14,2010-07-31 17:00:00
18,0.0009020011111111,0.0300333333333333,10.895459019974751,UCI Household,S-Naive,14,2010-07-31 17:00:00
19,0.0014873877777777,0.0385666666666666,12.052710890368605,UCI Household,S-Naive,14,2010-07-31 17:00:00
20,0.0003841599999999,0.0195999999999999,7.148066973959373,UCI Household,S-Naive,14,2010-07-31 17:00:00
21,7.1111111111110254e-06,0.0026666666666666,0.8023267354980382,UCI Household,S-Naive,14,2010-07-31 17:00:00
22,8.281000000000095e-05,0.0091,3.1712841405944743,UCI Household,S-Naive,14,2010-07-31 17:00:00
23,2.368444444444517e-05,0.0048666666666667,1.5395971495371346,UCI Household,S-Naive,14,2010-07-31 17:00:00
24,0.0008217777777777,0.0286666666666666,4.270745362238071,UCI Household,S-Naive,14,2010-07-31 17:00:00
1,1.736111111111099e-05,0.0041666666666666,1.3834319951840135,UCI Household,S-Naive,15,2010-08-07 17:00:00
2,4.760999999999947e-05,0.0068999999999999,2.4308613276226505,UCI Household,S-Naive,15,2010-08-07 17:00:00
3,0.0015734444444444,0.0396666666666667,12.413936797194834,UCI Household,S-Naive,15,2010-08-07 17:00:00
4,0.00179776,0.0424,16.980376111726557,UCI Household,S-Naive,15,2010-08-07 17:00:00
5,0.0010282711111111,0.0320666666666666,11.321642732935585,UCI Household,S-Naive,15,2010-08-07 17:00:00
6,0.0004382044444444,0.0209333333333333,6.5382612201208445,UCI Household,S-Naive,15,2010-08-07 17:00:00
